gross,genres,,movie_title,budget,Net 
760505847,Action|Adventure|Fantasy|Sci-Fi,,Avatar,237000000,523505847
309404152,Action|Adventure|Fantasy,,Pirates of the Caribbean: At World's End,300000000,9404152
200074175,Action|Adventure|Thriller,,Spectre,245000000,-44925825
448130642,Action|Thriller,,The Dark Knight Rises,250000000,198130642
,Documentary,,Star Wars: Episode VII - The Force Awakens          ,,0
73058679,Action|Adventure|Sci-Fi,,John Carter,263700000,-190641321
336530303,Action|Adventure|Romance,,Spider-Man 3,258000000,78530303
200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,,Tangled,260000000,-59192738
458991599,Action|Adventure|Sci-Fi,,Avengers: Age of Ultron,250000000,208991599
301956980,Adventure|Family|Fantasy|Mystery,,Harry Potter and the Half-Blood Prince,250000000,51956980
330249062,Action|Adventure|Sci-Fi,,Batman v Superman: Dawn of Justice,250000000,80249062
200069408,Action|Adventure|Sci-Fi,,Superman Returns,209000000,-8930592
168368427,Action|Adventure,,Quantum of Solace,200000000,-31631573
423032628,Action|Adventure|Fantasy,,Pirates of the Caribbean: Dead Man's Chest,225000000,198032628
89289910,Action|Adventure|Western,,The Lone Ranger,215000000,-125710090
291021565,Action|Adventure|Fantasy|Sci-Fi,,Man of Steel,225000000,66021565
141614023,Action|Adventure|Family|Fantasy,,The Chronicles of Narnia: Prince Caspian,225000000,-83385977
623279547,Action|Adventure|Sci-Fi,,The Avengers,220000000,403279547
241063875,Action|Adventure|Fantasy,,Pirates of the Caribbean: On Stranger Tides,250000000,-8936125
179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,,Men in Black 3,225000000,-45979146
255108370,Adventure|Fantasy,,The Hobbit: The Battle of the Five Armies,250000000,5108370
262030663,Action|Adventure|Fantasy,,The Amazing Spider-Man,230000000,32030663
105219735,Action|Adventure|Drama|History,,Robin Hood,200000000,-94780265
258355354,Adventure|Fantasy,,The Hobbit: The Desolation of Smaug,225000000,33355354
70083519,Adventure|Family|Fantasy,,The Golden Compass,180000000,-109916481
218051260,Action|Adventure|Drama|Romance,,King Kong,207000000,11051260
658672302,Drama|Romance,,Titanic,200000000,458672302
407197282,Action|Adventure|Sci-Fi,,Captain America: Civil War,250000000,157197282
65173160,Action|Adventure|Sci-Fi|Thriller,,Battleship,209000000,-143826840
652177271,Action|Adventure|Sci-Fi|Thriller,,Jurassic World,150000000,502177271
304360277,Action|Adventure|Thriller,,Skyfall,200000000,104360277
373377893,Action|Adventure|Fantasy|Romance,,Spider-Man 2,200000000,173377893
408992272,Action|Adventure|Sci-Fi,,Iron Man 3,200000000,208992272
334185206,Adventure|Family|Fantasy,,Alice in Wonderland,200000000,134185206
234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,,X-Men: The Last Stand,210000000,24360014
268488329,Adventure|Animation|Comedy|Family|Fantasy,,Monsters University,200000000,68488329
402076689,Action|Adventure|Sci-Fi,,Transformers: Revenge of the Fallen,200000000,202076689
245428137,Action|Adventure|Sci-Fi,,Transformers: Age of Extinction,210000000,35428137
234903076,Adventure|Family|Fantasy,,Oz the Great and Powerful,215000000,19903076
202853933,Action|Adventure|Fantasy|Sci-Fi,,The Amazing Spider-Man 2,200000000,2853933
172051787,Action|Adventure|Sci-Fi,,TRON: Legacy,170000000,2051787
191450875,Adventure|Animation|Comedy|Family|Sport,,Cars 2,200000000,-8549125
116593191,Action|Adventure|Sci-Fi,,Green Lantern,200000000,-83406809
414984497,Adventure|Animation|Comedy|Family|Fantasy,,Toy Story 3,200000000,214984497
125320003,Action|Adventure|Sci-Fi,,Terminator Salvation,200000000,-74679997
350034110,Action|Crime|Thriller,,Furious 7,190000000,160034110
202351611,Action|Adventure|Horror|Sci-Fi|Thriller,,World War Z,190000000,12351611
233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,,X-Men: Days of Future Past,200000000,33914986
228756232,Action|Adventure|Sci-Fi,,Star Trek Into Darkness,190000000,38756232
65171860,Adventure|Fantasy,,Jack the Giant Slayer,195000000,-129828140
144812796,Drama|Romance,,The Great Gatsby,105000000,39812796
90755643,Action|Adventure|Fantasy|Romance,,Prince of Persia: The Sands of Time,200000000,-109244357
101785482,Action|Adventure|Sci-Fi,,Pacific Rim,190000000,-88214518
352358779,Action|Adventure|Sci-Fi,,Transformers: Dark of the Moon,195000000,157358779
317011114,Action|Adventure|Fantasy,,Indiana Jones and the Kingdom of the Crystal Skull,185000000,132011114
123070338,Adventure|Animation|Comedy|Family|Fantasy,,The Good Dinosaur,,123070338
237282182,Adventure|Animation|Comedy|Family|Fantasy,,Brave,185000000,52282182
130468626,Action|Adventure|Sci-Fi|Thriller,,Star Trek Beyond,185000000,-54531374
223806889,Adventure|Animation|Family|Sci-Fi,,WALL,180000000,43806889
140080850,Action|Comedy|Crime|Thriller,,Rush Hour 3,140000000,80850
166112167,Action|Adventure|Sci-Fi,,2012,200000000,-33887833
137850096,Animation|Drama|Family|Fantasy,,A Christmas Carol,200000000,-62149904
47375327,Action|Adventure|Sci-Fi,,Jupiter Ascending,176000000,-128624673
124051759,Action|Adventure|Drama|Romance,,The Legend of Tarzan,180000000,-55948241
291709845,Adventure|Family|Fantasy,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,111709845
154985087,Action|Adventure|Sci-Fi,,X-Men: Apocalypse,178000000,-23014913
533316061,Action|Crime|Drama|Thriller,,The Dark Knight,185000000,348316061
292979556,Adventure|Animation|Comedy|Family,,Up,175000000,117979556
198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,,Monsters vs. Aliens,175000000,23332128
318298180,Action|Adventure|Sci-Fi,,Iron Man,140000000,178298180
73820094,Adventure|Drama|Family|Mystery,,Hugo,170000000,-96179906
113745408,Action|Comedy|Sci-Fi|Western,,Wild Wild West,170000000,-56254592
102176165,Action|Adventure|Fantasy|Horror|Thriller,,The Mummy: Tomb of the Dragon Emperor,145000000,-42823835
161087183,Action|Adventure|Comedy|Sci-Fi,,Suicide Squad,175000000,-13912817
100289690,Comedy|Family|Fantasy,,Evan Almighty,175000000,-74710310
100189501,Action|Adventure|Sci-Fi,,Edge of Tomorrow,178000000,-77810499
88246220,Action|Adventure|Sci-Fi|Thriller,,Waterworld,175000000,-86753780
150167630,Action|Adventure|Sci-Fi|Thriller,,G.I. Joe: The Rise of Cobra,175000000,-24832370
356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,,Inside Out,175000000,181454367
362645141,Adventure|Drama|Family|Fantasy,,The Jungle Book,175000000,187645141
312057433,Action|Adventure|Sci-Fi,,Iron Man 2,200000000,112057433
155111815,Action|Adventure|Drama|Fantasy,,Snow White and the Huntsman,170000000,-14888185
241407328,Action|Adventure|Family|Fantasy|Romance,,Maleficent,180000000,61407328
208543795,Action|Adventure|Drama|Sci-Fi,,Dawn of the Planet of the Apes,170000000,38543795
,Action|Adventure|Romance|Sci-Fi,,The Lovers,,0
38297305,Action|Adventure|Drama|Fantasy,,47 Ronin,175000000,-136702695
259746958,Action|Adventure|Sci-Fi,,Captain America: The Winter Soldier,170000000,89746958
238371987,Adventure|Animation|Comedy|Family|Fantasy,,Shrek Forever After,165000000,73371987
93417865,Action|Adventure|Family|Mystery|Sci-Fi,,Tomorrowland,190000000,-96582135
222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,,Big Hero 6,165000000,57487711
189412677,Adventure|Animation|Comedy|Family|Sci-Fi,,Wreck-It Ralph,165000000,24412677
665426,Adventure|Animation|Family|Fantasy,,The Polar Express,165000000,-164334574
102315545,Action|Adventure|Sci-Fi,,Independence Day: Resurgence,165000000,-62684455
217387997,Adventure|Animation|Family|Fantasy,,How to Train Your Dragon,165000000,52387997
150350192,Action|Sci-Fi,,Terminator 3: Rise of the Machines,200000000,-49649808
333130696,Action|Adventure|Sci-Fi,,Guardians of the Galaxy,170000000,163130696
187991439,Adventure|Drama|Sci-Fi,,Interstellar,165000000,22991439
292568851,Action|Adventure|Sci-Fi|Thriller,,Inception,160000000,132568851
,Action|Adventure|Drama|Horror|Sci-Fi,,Godzilla Resurgence,,0
303001229,Adventure|Fantasy,,The Hobbit: An Unexpected Journey,180000000,123001229
144512310,Action|Crime|Thriller,,The Fast and the Furious,38000000,106512310
127490802,Drama|Fantasy|Romance,,The Curious Case of Benjamin Button,150000000,-22509198
146405371,Action|Adventure|Sci-Fi,,X-Men: First Class,160000000,-13594629
281666058,Adventure|Sci-Fi,,The Hunger Games: Mockingjay - Part 2,160000000,121666058
63143812,Action|Adventure|Family|Fantasy,,The Sorcerer's Apprentice,150000000,-86856188
60655503,Action|Adventure|Drama|Thriller,,Poseidon,160000000,-99344497
76846624,Adventure|Family|Fantasy,,Alice Through the Looking Glass,170000000,-93153376
320706665,Adventure|Animation|Comedy|Family|Fantasy,,Shrek the Third,160000000,160706665
46978995,Action|Adventure|Fantasy,,Warcraft,160000000,-113021005
89732035,Action|Adventure|Sci-Fi,,Terminator Genisys,155000000,-65267965
104383624,Adventure|Family|Fantasy,,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,-50616376
198539855,Action|Drama|History|Romance|War,,Pearl Harbor,140000000,58539855
318759914,Action|Adventure|Sci-Fi,,Transformers,150000000,168759914
34293771,Action|Adventure|Biography|Drama|History|Romance|War,,Alexander,155000000,-120706229
292000866,Adventure|Family|Fantasy|Mystery,,Harry Potter and the Order of the Phoenix,150000000,142000866
289994397,Adventure|Family|Fantasy|Mystery,,Harry Potter and the Goblet of Fire,150000000,139994397
227946274,Action|Drama,,Hancock,150000000,77946274
256386216,Drama|Horror|Sci-Fi,,I Am Legend,150000000,106386216
206456431,Adventure|Comedy|Family|Fantasy,,Charlie and the Chocolate Factory,150000000,56456431
206435493,Animation|Comedy|Family|Fantasy,,Ratatouille,150000000,56435493
205343774,Action|Adventure,,Batman Begins,150000000,55343774
179982968,Action|Adventure|Animation|Comedy|Family,,Madagascar: Escape 2 Africa,150000000,29982968
177243721,Adventure|Comedy|Family|Fantasy,,Night at the Museum: Battle of the Smithsonian,150000000,27243721
179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,,X-Men Origins: Wolverine,150000000,29883016
139259759,Action|Sci-Fi,,The Matrix Revolutions,150000000,-10740241
